id,symbol,name,rank,consolidation_score,volume_stability_score,breakout_score,breakout_volume_score,rsi_score,ma_score,cap_score,consolidation_volatility,consolidation_range,volume_stability,breakout_price_change,breakout_volume_change,rsi_current,rsi_trend,ma_trend,market_cap,data_days,total_score
solv-btc,solvbtc,Solv Protocol SolvBTC,82,0,0,10,10,10,10,5,0.021497001798337696,0.24558788308732912,0,23.929590355470488,10,74.36789646582994,25.35827096297566,7.3587537105729295,1170738028.367925,218,6.25
lido-dao,ldo,Lido DAO,83,0,7,10,10,10,3,5,0.04813118023471079,0.40618339543815885,7,18.94446427573717,10,67.99844242648899,42.1548007873901,-1.06299207813505,1162889752.8259592,361,6.25
msol,msol,Marinade Staked SOL,84,0,3,10,0,10,10,5,0.031945990847948004,0.36946472317181933,3,40.24684924443969,0,71.45028304600025,28.636138995422236,12.86552848252953,1094663942.2524433,361,5.375
beam-2,beam,Beam,85,0,4,10,10,10,10,5,0.051381785936015445,0.5338200594292816,4,35.84206439189914,10,60.86299466639675,25.362522271143114,6.514902530344502,1088882198.3076828,361,6.75
algorand,algo,Algorand,86,0,7,2,10,10,0,5,0.030762906771933354,0.2555523569038205,7,2.828805286760483,10,66.5875340602506,41.11568174305404,-4.966514456955218,1076153896.8464327,361,4.375
ondo-finance,ondo,Ondo,87,0,0,6,0,10,3,5,0.04249875396176244,0.38449444396675636,0,6.361835019010509,0,56.8717515619071,33.020926516364845,-1.164596189106637,1066820577.712607,298,3.375
coinbase-wrapped-btc,cbbtc,Coinbase Wrapped BTC,88,0,6,10,10,10,10,5,0.01950886369805967,0.09864712269964303,6,15.06069256425393,10,74.47925316470737,24.805728779315942,7.36694887208087,1057080740.199249,60,7.0
bitcoin-cash-sv,bsv,Bitcoin SV,89,0,5,10,10,10,6,5,0.033948502841541495,0.28983647954308994,5,13.268631881768677,10,64.5905528394513,22.989752834650126,1.3907759312707046,1039764767.2640074,361,6.375
jasmycoin,jasmy,JasmyCoin,90,0,7,3,10,10,0,5,0.038602660153335924,0.3764575866404219,7,3.235617032631244,10,67.90773307346414,39.09182512456702,-6.36352177022006,1002761051.185582,361,4.5625
matic-network,matic,Polygon,91,0,0,0,0,10,0,6,0.036881547729894174,0.6309285747460562,0,-4.663084830728281,0,66.5671685776475,49.4715303085822,-9.33989022629027,997328707.3359425,361,2.0
neiro-3,neiro,Neiro,92,0,4,10,7,10,10,6,0.13184469526884052,0.8947789431709063,4,62.5877309167757,7,74.29481810273587,49.509444475363665,23.689774616634907,989649119.7003012,102,6.5
aerodrome-finance,aero,Aerodrome Finance,93,0,2,10,10,10,10,6,0.05511112015300238,1.040954033448969,2,61.982106743501554,10,68.24783727686899,33.87578569978689,9.157305012431326,981278899.1047059,361,6.625
fasttoken,ftn,Fasttoken,94,0,5,10,10,10,10,6,0.018507736007077474,0.16748544453821998,5,16.14011459924365,10,90.79657322954716,41.41125220600188,6.260308987017882,961525037.8245404,361,7.0
ether-fi-staked-eth,eeth,ether.fi Staked ETH,95,0,1,10,10,10,7,6,0.02810928281001251,0.21621823368214566,1,20.09235446287112,10,75.46269192605969,43.85470210010361,2.5425286105554834,929999994.3296226,278,6.125
based-brett,brett,Brett,96,0,4,7,10,10,6,6,0.0594044919866388,0.5534584246459687,4,7.401196132836385,10,54.14498874401625,29.124894033486704,1.6199353972442099,927471244.4814627,256,5.8125
quant-network,qnt,Quant,97,0,6,0,10,10,0,6,0.035555585240114075,0.31967186664661074,6,-7.846712281851009,10,53.092614024478756,30.779933355794334,-10.169799716122817,908780366.0964947,361,4.0
gala,gala,GALA,98,0,6,10,9,10,5,6,0.046652840844923035,0.43941482776053964,6,14.706700242854298,9,61.90480335813377,39.646421046177885,0.003947814221216817,903242463.8194604,361,6.375
starknet,strk,Starknet,99,0,5,6,0,10,0,6,0.04848160138132948,0.3411351216108317,5,6.596930862282657,0,64.5519447898271,39.08647351021328,-4.026702275693561,888204477.993192,265,3.75
pendle,pendle,Pendle,100,0,3,10,10,10,10,6,0.05088937918220337,0.6677158263715972,3,49.68170930985034,10,63.42384504473604,25.194478090277542,13.262077639020875,884132868.9530383,361,6.75
tokenize-xchange,tkx,Tokenize Xchange,101,0,6,10,4,10,8,6,0.022521224901369468,0.21287797983896367,6,26.03723657360566,4,81.58728351233985,37.522139859935514,3.437095254621081,880295175.1924897,361,6.125
flow,flow,Flow,102,0,5,0,10,10,0,6,0.03024304613675745,0.213275657747112,5,0.001348129013822863,10,62.12471079523073,41.17098430733554,-4.225533942899218,857626742.7056888,361,3.875
bittorrent,btt,BitTorrent,103,0,2,0,0,10,0,6,0.03494215512589782,0.3433632227921523,2,-0.03385043146261202,0,54.2977635023682,32.29540046640027,-3.5544831728022586,853755213.4255131,361,2.25
lombard-staked-btc,lbtc,Lombard Staked BTC,104,0,3,10,0,10,10,6,0.019075357560740858,0.13095345780310028,3,17.54153758383925,0,75.0163212063971,25.569729002723157,7.233183367911922,834658870.2250044,74,5.5
cat-in-a-dogs-world,mew,cat in a dogs world,105,0,0,10,10,1,0,6,0.08245435929646017,1.309716724403692,0,63.95798529604016,10,42.56684559471041,2.5075269848907524,31.6794587425554,833799060.7060969,230,4.0
coredaoorg,core,Core,106,0,6,0,4,10,0,6,0.04714478539711386,0.4234876725548441,6,-7.107388311528828,4,58.85911530588298,32.01696601285394,-7.250486586946159,832171525.9439039,361,3.25
ordinals,ordi,ORDI,107,0,6,10,10,10,3,6,0.05758486347116706,0.43994654351260626,6,18.035290845750374,10,67.7074231237905,35.78629235900958,-1.8643444504252704,812798553.614302,361,6.25
mog-coin,mog,Mog Coin,108,0,6,10,10,10,10,6,0.07654224161795024,1.1346282953963818,6,53.796315910495984,10,59.807946957202866,28.545601894576855,18.718232020077387,800749053.1378627,361,7.125
elrond-erd-2,egld,MultiversX,109,0,6,7,10,10,0,6,0.03556745333216593,0.33003740423297123,6,7.164351261780744,10,72.21031163385678,51.23867237432647,-4.881191952466213,798030298.7470329,361,5.3125
axie-infinity,axs,Axie Infinity,110,0,2,7,10,10,5,6,0.03382598419152744,0.26724404694997295,2,7.634924301454626,10,62.6812863268119,36.81901158792216,0.33658956266318096,789227652.2926987,361,5.4375
apecoin,ape,ApeCoin,111,0,0,10,10,10,0,6,0.09792890231188683,1.3329249027721737,0,41.23311688520881,10,50.63581612031243,35.59462282217751,23.735328786346454,773793423.273599,361,5.125
dydx-chain,dydx,dYdX,113,0,0,10,10,10,10,6,0.054169960586062195,0.4725804025592238,0,20.485158008563943,10,66.06342584763985,48.14350340676695,6.329872589300201,772677164.3100705,350,6.375
jupiter-staked-sol,jupsol,Jupiter Staked SOL,115,0,5,10,10,10,10,6,0.03238380032050098,0.3724384717381902,5,40.32480969780452,10,71.3923993189485,28.450250404462338,12.885072323075741,769202450.9352959,195,7.0
spx6900,spx,SPX6900,116,0,0,10,10,4,10,6,0.18513623098404455,4.094609683324417,0,270.35609400724763,10,51.42421454365508,9.891536633407156,72.99142990057481,762074551.2585267,361,5.625
usdd,usdd,USDD,117,9,4,0,10,6,5,6,0.0017089185904138125,0.008377252521775985,4,0.16861677830151134,10,55.50002344857288,12.816872714251971,0.06806224819837503,757198889.5841548,361,5.5625
solv-protocol-solvbtc-bbn,solvbtc.bbn,Solv Protocol SolvBTC.BBN,118,0,1,10,10,10,10,6,0.019828196393354477,0.1365932423903073,1,18.82373829857564,10,74.15214363649595,25.77912351469648,7.561015647889824,749338235.5094317,101,6.5
neo,neo,NEO,119,0,6,3,0,10,2,6,0.03095371959287771,0.20361374494195367,6,3.5347054723931848,0,62.79448289705451,38.90960920485762,-2.642969977611176,730693795.4955091,361,3.5625
notcoin,not,Notcoin,120,0,3,0,0,10,0,6,0.05206087520507656,0.5938347571325439,3,-15.33967202304083,0,54.8205041005346,36.651500149310245,-10.004490785381016,727792380.7725035,179,2.375
conflux-token,cfx,Conflux,121,0,3,3,10,10,0,6,0.05084297947941923,0.47687426998244,3,3.9952905948726025,10,61.073509292018166,32.36014633205156,-6.886672929274463,727496579.0752268,361,4.1875
arbitrum-bridged-wbtc-arbitrum-one,wbtc,Arbitrum Bridged WBTC (Arbitrum One),122,0,5,10,10,10,10,6,0.018938850689745403,0.1370216054893142,5,18.945028845905455,10,75.2294512306271,25.776021232044748,7.4381312484296025,726507546.4216344,99,7.0
nexo,nexo,NEXO,123,0,7,10,10,10,5,6,0.02352088206629514,0.18426507344829066,7,11.134080552081137,10,72.06325932401035,33.85980295665073,0.08261172315644494,723977874.5862658,361,6.625
